date,time,open,high,low,close,amount,vol
2025-11-7,14:46:0,100.01,100.01,100.009,100.009,780078.0,78.0
2025-11-7,14:47:0,100.009,100.009,100.009,100.009,0.0,0.0
2025-11-7,14:48:0,100.009,100.009,100.009,100.009,10001.0,1.0
2025-11-7,14:49:0,100.009,100.01,100.009,100.01,270024.0,27.0
2025-11-7,14:50:0,100.01,100.01,100.01,100.01,520052.0,52.0
2025-11-7,14:51:0,100.009,100.01,100.009,100.01,950195.0,95.0
2025-11-7,14:52:0,100.01,100.01,100.009,100.009,60005.0,6.0
2025-11-7,14:53:0,100.01,100.01,100.009,100.009,50005.0,5.0
2025-11-7,14:54:0,100.01,100.01,100.01,100.01,5030503.0,503.0
2025-11-7,14:55:0,100.01,100.01,100.01,100.01,2420242.0,242.0
2025-11-7,14:56:0,100.01,100.01,100.01,100.01,230023.0,23.0
2025-11-7,14:57:0,100.01,100.011,100.01,100.011,1575858.0,158.0
2025-11-7,14:58:0,100.01,100.01,100.01,100.01,44304.0,4.0
2025-11-7,14:59:0,100.01,100.01,100.009,100.01,1560254.0,156.0
2025-11-10,9:30:0,100.001,100.002,100.001,100.002,6635366.0,664.0
2025-11-10,9:31:0,100.001,100.001,100.001,100.001,1260013.0,126.0
2025-11-10,9:32:0,100.001,100.001,100.001,100.001,490005.0,49.0
2025-11-10,9:33:0,100.001,100.001,100.001,100.001,3442234.0,344.0
2025-11-10,9:34:0,100.001,100.002,100.001,100.001,5242573.0,524.0
2025-11-10,9:35:0,100.001,100.001,100.0,100.0,110001.0,11.0
2025-11-10,9:36:0,100.0,100.001,100.0,100.001,430000.0,43.0
2025-11-10,9:37:0,100.0,100.001,100.0,100.001,160000.0,16.0
2025-11-10,9:38:0,100.0,100.001,100.0,100.001,1280013.0,128.0
2025-11-10,9:39:0,100.001,100.001,100.001,100.001,320003.0,32.0
2025-11-10,9:40:0,100.001,100.001,100.001,100.001,670007.0,67.0
2025-11-10,9:41:0,100.0,100.001,100.0,100.001,2760027.0,276.0
2025-11-10,9:42:0,100.001,100.001,100.001,100.001,409004.0,41.0
2025-11-10,9:43:0,100.001,100.001,100.001,100.001,50001.0,5.0
2025-11-10,9:44:0,100.001,100.001,100.001,100.001,390003.0,39.0
2025-11-10,9:45:0,100.001,100.001,100.001,100.001,2160122.0,216.0
